,id,original_title,popularity,vote_count,genre_ids
397,698948,Thirteen Lives,27.61,1083,"[18, 53]"
398,671,Harry Potter and the Philosopher's Stone,221.903,25835,"[12, 14]"
399,10674,Mulan,86.138,9061,"[16, 10751, 12]"
400,829,Chinatown,39.849,3510,"[80, 18, 9648, 53]"
401,610150,ドラゴンボール超 スーパーヒーロー,94.846,2614,"[16, 878, 28]"
402,334533,Captain Fantastic,26.027,6093,"[12, 18]"
403,183011,Justice League: The Flashpoint Paradox,24.286,1722,"[878, 16, 28, 12]"
404,47796,Mamma Roma,14.336,380,[18]
405,785084,The Whale,63.77,3214,[18]
406,122906,About Time,51.96,7912,"[18, 10749, 14]"
407,31442,Иваново детство,15.138,658,"[18, 10752]"
408,1646,Freedom Writers,26.274,2060,"[80, 18]"
409,949,Heat,55.969,6721,"[28, 80, 18]"
410,33,Unforgiven,39.142,4048,[37]
411,7857,Amarcord,15.168,1030,"[35, 18]"
412,223,Rebecca,19.003,1623,"[9648, 10749, 53, 18]"
413,667520,泣きたい私は猫をかぶる,45.898,1280,"[16, 18, 10749, 14]"
414,49964,خانه‌ی دوست کجاست؟,14.739,302,"[18, 10751]"
415,20271,Divorzio all'italiana,13.875,397,"[35, 80]"
416,505262,僕のヒーローアカデミア THE MOVIE ～2人の英雄～,45.844,932,"[16, 28, 12, 14]"
417,455714,ฉลาดเกมส์โกง,14.916,732,"[18, 80, 53, 35]"
418,118340,Guardians of the Galaxy,42.435,26939,"[28, 878, 12]"
419,10728,Faust – Eine deutsche Volkssage,11.485,313,"[18, 14, 27]"
420,194,Le Fabuleux Destin d'Amélie Poulain,29.997,10897,"[35, 10749]"
421,316029,The Greatest Showman,42.866,8956,[18]
422,17295,La battaglia di Algeri,14.433,674,"[18, 10752, 36]"
423,438695,Sing 2,107.395,4033,"[16, 10751, 10402, 35]"
424,60243,جدایی نادر از سیمین,13.525,1594,[18]
425,2011,Persepolis,13.762,1798,"[16, 18]"
426,13398,東京ゴッドファーザーズ,34.309,1118,"[16, 18, 35]"
427,1402,The Pursuit of Happyness,48.659,9290,[18]
428,597,Titanic,145.64,23997,"[18, 10749]"
429,313369,La La Land,55.733,15813,"[35, 18, 10749, 10402]"
430,7984,In the Name of the Father,17.522,1616,[18]
431,752,V for Vendetta,38.868,13751,"[28, 53, 878]"
432,522212,Just Mercy,28.393,2080,"[18, 80, 36]"
433,3034,Young Frankenstein,18.79,2946,[35]
434,331482,Little Women,76.314,5825,"[18, 10749]"
